im_Dyskeratotic,im_Koilocytotic,im_Metaplastic,im_Parabasal,im_Superficial-Intermediate,True_Label,Predicted_Label,Model
0.9969988,0.00296054,1.48E-05,2.11E-05,4.70E-06,0,0,DenseNet169
0.99010974,0.008590899,0.001013715,0.000267834,1.77E-05,1,0,DenseNet169
1.24E-05,0.000577966,0.000232503,9.84E-06,0.9991673,4,4,DenseNet169
0.045381714,0.81738514,0.11663976,0.020125736,0.0004676,1,1,DenseNet169
0.006443443,0.91561455,0.069965765,0.00397784,0.003998353,1,1,DenseNet169
2.52E-05,0.000376834,9.21E-05,3.60E-05,0.99946994,4,4,DenseNet169
0.04981516,0.019042226,0.06803587,0.8612769,0.001829858,3,3,DenseNet169
0.000894304,0.99219656,0.006032611,0.000112355,0.000764183,1,1,DenseNet169
0.000975961,0.15048632,0.54528517,0.30244708,0.000805517,2,2,DenseNet169
0.00392649,0.72861016,0.26482612,0.000848803,0.001788529,1,1,DenseNet169
0.001092619,0.7184197,0.27886352,0.000207395,0.001416779,2,1,DenseNet169
0.8951285,0.09645175,0.007391708,0.000329954,0.000698044,0,0,DenseNet169
0.024903929,0.15092018,0.041076217,0.7820197,0.00108003,3,3,DenseNet169
0.000194957,0.047768477,0.8719557,0.004009629,0.076071315,2,2,DenseNet169
0.001951651,0.09549591,0.000800533,0.001097699,0.90065426,4,4,DenseNet169
0.000717699,0.07516433,0.8316247,0.043036103,0.04945712,2,2,DenseNet169
0.99813,0.001490136,0.000113854,6.78E-06,0.000259107,0,0,DenseNet169
0.9539178,0.018879823,0.002198465,0.000254903,0.024749057,0,0,DenseNet169
0.008519437,0.002626164,0.001434537,0.9871991,0.000220732,3,3,DenseNet169
0.028120376,0.36459523,0.526085,0.06894674,0.012252628,1,2,DenseNet169
0.018236756,0.8985045,0.08308936,0.000166531,2.83E-06,0,1,DenseNet169
2.71E-07,1.32E-05,1.07E-06,2.38E-07,0.9999852,4,4,DenseNet169
0.49490798,0.35122055,0.1506719,0.002333047,0.000866545,0,0,DenseNet169
0.441995,0.52086145,0.021865273,0.011560456,0.003717786,1,1,DenseNet169
0.8648555,0.09490656,0.03729506,0.001283731,0.001659199,0,0,DenseNet169
0.6194822,0.07518075,0.021534296,0.27724144,0.00656126,3,0,DenseNet169
0.93187994,0.009755006,0.001374932,0.056366857,0.000623174,0,0,DenseNet169
1.56E-05,0.006926394,0.000512176,0.000318586,0.9922273,4,4,DenseNet169
0.004119901,0.012752566,0.020421363,0.005167603,0.9575386,4,4,DenseNet169
0.000121538,0.002125033,0.00019387,0.000103758,0.9974558,4,4,DenseNet169
0.756047,0.08989665,0.025217049,0.12587336,0.00296592,0,0,DenseNet169
0.18051799,0.24253765,0.036394566,0.5377776,0.002772231,3,3,DenseNet169
0.05811227,0.62813973,0.12611476,0.16621737,0.021415835,1,1,DenseNet169
8.96E-06,0.010323798,0.002883074,0.000249063,0.98653513,4,4,DenseNet169
0.77334267,0.16027276,0.010449743,0.05537423,0.0005605,0,0,DenseNet169
0.023332426,0.82295334,0.15076436,0.002900371,4.96E-05,1,1,DenseNet169
0.99562895,0.00394605,0.000363205,5.57E-05,6.23E-06,0,0,DenseNet169
0.014868794,0.9050949,0.07491441,0.003214052,0.001907779,1,1,DenseNet169
0.71935517,0.04568928,0.003900119,0.23019908,0.000856379,3,0,DenseNet169
0.000177636,0.004347751,0.9933814,0.001610733,0.000482449,2,2,DenseNet169
0.022445168,0.011692321,0.067661256,0.8953006,0.002900616,3,3,DenseNet169
0.5899539,0.172598,0.12590602,0.000105499,0.11143659,2,0,DenseNet169
0.034076966,0.18662761,0.6611983,0.09660303,0.021494104,2,2,DenseNet169
3.99E-06,0.000300516,5.88E-05,5.66E-07,0.99963605,4,4,DenseNet169
0.001307956,0.006749589,0.001895937,0.9898039,0.000242575,3,3,DenseNet169
0.009368307,0.003425475,0.002413677,0.9843262,0.000466351,3,3,DenseNet169
0.000206341,0.000239192,8.59E-05,0.000345096,0.9991235,4,4,DenseNet169
0.002855697,0.9477563,0.047340408,0.001628718,0.000418824,1,1,DenseNet169
0.0335378,0.9044813,0.005548257,0.031537358,0.024895366,1,1,DenseNet169
0.005169973,0.6148959,0.37962306,0.000146924,0.000164236,2,1,DenseNet169
0.002848215,0.25443986,0.7389547,0.002982818,0.000774412,2,2,DenseNet169
0.014765337,0.001174092,0.005513519,0.9777957,0.000751373,3,3,DenseNet169
0.002035963,0.087441325,0.90034163,0.000310718,0.00987037,2,2,DenseNet169
0.018292742,0.5532891,0.4059569,0.002629009,0.019832237,2,1,DenseNet169
3.33E-05,0.000183503,4.57E-05,0.000198106,0.9995395,4,4,DenseNet169
0.001270334,0.000693776,0.000938751,0.9969522,0.000144958,3,3,DenseNet169
0.006014069,0.9044057,0.06696389,0.018089248,0.004527133,1,1,DenseNet169
3.03E-05,0.000415211,0.9991499,0.000249452,0.000155119,2,2,DenseNet169
0.031327464,0.9337162,0.02908572,0.004989679,0.000880986,1,1,DenseNet169
0.000799045,0.9785219,0.003336855,0.000480613,0.016861634,1,1,DenseNet169
0.000135668,0.003640326,0.000340641,0.011930067,0.9839533,4,4,DenseNet169
0.001831182,0.016173435,0.3710354,0.1223295,0.4886305,2,4,DenseNet169
0.6935462,0.23500575,0.059583567,0.007211488,0.004653004,0,0,DenseNet169
0.002006667,0.07096246,0.03635105,0.017933832,0.87274605,4,4,DenseNet169
0.000851682,0.001196867,0.000202905,0.000157378,0.99759114,4,4,DenseNet169
5.28E-06,7.14E-05,2.51E-05,1.58E-06,0.99989665,4,4,DenseNet169
0.000181795,0.043204322,0.017754737,0.007377427,0.9314818,4,4,DenseNet169
0.004102786,0.007678882,0.004150729,0.9045515,0.07951616,3,3,DenseNet169
0.00082835,0.0722359,0.003820577,0.007923001,0.9151921,4,4,DenseNet169
0.021487102,0.8479224,0.10006696,0.030316615,0.000206888,1,1,DenseNet169
0.4469647,0.5263438,0.024151055,0.002440531,9.98E-05,0,1,DenseNet169
0.003574987,0.03012634,0.051118933,0.9138136,0.001366142,3,3,DenseNet169
0.000977805,0.8556678,0.12711264,0.000388064,0.01585368,1,1,DenseNet169
0.001542031,0.69573444,0.29264876,0.001284205,0.008790475,1,1,DenseNet169
0.99797374,0.001174014,0.000273439,0.000118634,0.000460254,0,0,DenseNet169
0.9283008,0.026066639,0.024466572,0.018969242,0.002196635,0,0,DenseNet169
0.1209534,0.85189384,0.005961209,0.004433153,0.016758429,1,1,DenseNet169
0.83204615,0.16564676,0.002241922,1.21E-05,5.31E-05,0,0,DenseNet169
0.005493441,0.036714554,0.03168887,0.9242253,0.001877855,3,3,DenseNet169
0.9322685,0.066851854,0.00086951,5.19E-06,4.90E-06,0,0,DenseNet169
0.17180426,0.31883687,0.15330267,0.3064846,0.04957161,1,1,DenseNet169
0.000127867,0.027226187,0.10640202,0.004775427,0.8614685,4,4,DenseNet169
0.000652904,0.01403509,0.005884001,0.001148253,0.97827977,4,4,DenseNet169
0.00073257,0.00056572,4.19E-05,1.59E-05,0.99864393,4,4,DenseNet169
0.9852645,0.007860316,0.003779566,0.002117739,0.000977933,0,0,DenseNet169
0.000107886,0.004468553,0.00033446,0.000921334,0.9941678,4,4,DenseNet169
0.92774665,0.060850475,0.004307022,0.006488266,0.000607593,0,0,DenseNet169
0.025115032,0.4053996,0.2303575,0.21605319,0.12307461,1,1,DenseNet169
0.002612992,0.31880313,0.66515225,0.009899526,0.003532125,2,2,DenseNet169
1.55E-05,0.000809003,5.38E-05,2.95E-06,0.99911875,4,4,DenseNet169
0.001994962,0.000316629,0.00013694,0.9975102,4.13E-05,3,3,DenseNet169
0.019738903,0.002674159,5.19E-05,1.07E-05,0.9775243,4,4,DenseNet169
0.000480112,0.10024545,0.8935892,0.001026654,0.004658542,2,2,DenseNet169
0.9805597,0.01472542,0.001202345,0.003413083,9.93E-05,0,0,DenseNet169
0.000510974,0.063996404,0.9145747,0.015819449,0.005098464,2,2,DenseNet169
9.26E-05,0.00122959,1.78E-05,0.002103379,0.99655676,4,4,DenseNet169
0.000616734,0.012889561,0.98308474,0.002568927,0.000840061,2,2,DenseNet169
0.000422332,0.98357844,0.015632225,0.00030253,6.45E-05,1,1,DenseNet169
0.3689276,0.6039776,0.026138317,0.000640231,0.00031629,1,1,DenseNet169
0.95672864,0.036476366,0.002001513,0.004397029,0.000396506,0,0,DenseNet169
0.00051859,0.001660543,0.00388416,0.000812888,0.9931238,4,4,DenseNet169
0.004771695,0.001084678,0.002246503,0.99168384,0.000213291,3,3,DenseNet169
0.00024488,0.001473587,0.002027712,0.9958276,0.000426228,3,3,DenseNet169
0.97019637,0.01913781,0.004135663,0.006391277,0.000138881,0,0,DenseNet169
0.94453543,0.046375312,0.000732909,0.008134856,0.000221614,0,0,DenseNet169
0.000916331,0.002118582,0.006361112,0.989351,0.001253037,3,3,DenseNet169
0.006118554,0.001823459,0.000839481,0.9910466,0.000171859,3,3,DenseNet169
0.007037453,0.72871375,0.07793745,0.18062882,0.005682496,3,1,DenseNet169
0.020014161,0.054447044,0.051313106,0.8734718,0.000753863,3,3,DenseNet169
0.8479924,0.043766633,0.018893799,0.05555464,0.03379261,3,0,DenseNet169
5.46E-05,0.009540875,0.000613711,0.000106932,0.98968387,4,4,DenseNet169
0.005423452,0.42011178,0.5723663,0.001572041,0.000526376,2,2,DenseNet169
0.6872047,0.3033201,0.009218192,0.000137023,0.00011999,1,0,DenseNet169
0.000718779,0.001890182,0.000592287,0.000726956,0.9960718,4,4,DenseNet169
0.16254452,0.8271713,0.005945073,0.003680128,0.000659003,1,1,DenseNet169
0.002241466,0.001276272,0.003499335,0.9923977,0.000585263,3,3,DenseNet169
0.9658024,0.03038225,0.002226332,0.001484789,0.000104283,0,0,DenseNet169
0.9876437,0.002912806,0.000827352,0.008543501,7.26E-05,0,0,DenseNet169
0.003208753,0.11152566,0.8811493,0.003692527,0.000423856,1,2,DenseNet169
0.00779583,0.82959276,0.15529692,0.006703712,0.000610763,2,1,DenseNet169
0.01780726,0.3696973,0.4813498,0.12774967,0.003395896,1,2,DenseNet169
0.000432598,0.006291824,0.000357058,0.004780432,0.98813814,4,4,DenseNet169
0.058937427,0.8525718,0.019678164,0.056629136,0.012183567,1,1,DenseNet169
0.003693483,0.001774025,0.002433293,0.99157566,0.000523578,3,3,DenseNet169
6.92E-06,0.003674315,0.022224749,2.00E-05,0.97407395,4,4,DenseNet169
0.000160695,0.000822558,1.38E-05,2.22E-05,0.9989807,4,4,DenseNet169
0.013881604,0.44750738,0.535739,0.00262994,0.000242042,1,2,DenseNet169
0.000341215,0.020941958,0.97698087,0.001666946,6.90E-05,2,2,DenseNet169
0.8380238,0.09788921,0.000617273,0.041907962,0.021561747,0,0,DenseNet169
0.000119919,0.99077624,0.008818165,1.57E-05,0.000270041,1,1,DenseNet169
